Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56597885,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0374602603""","=""9780374602604""",0,3.53,"Farrar, Straus and Giroux",Hardcover,356,2021,2021,,2022/01/02,to-read,to-read (#126),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.81,Crown,Hardcover,273,2019,2018,,2022/01/02,to-read,to-read (#125),to-read,,,,0,0
32187419,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""0451499077""","=""9780451499073""",0,3.74,Hogarth,Kindle Edition,304,2017,2017,,2022/01/02,to-read,to-read (#124),to-read,,,,0,0
56269205,"Empire of the Vampire (Empire of the Vampire, #1)",Jay Kristoff,"Kristoff, Jay",Bon Orthwick,"=""1250245281""","=""9781250245281""",0,4.33,St. Martin's Press,Hardcover,739,2021,2021,,2021/12/28,to-read,to-read (#123),to-read,,,,0,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,4.14,Faber & Faber,Paperback,258,2005,1989,,2021/12/28,to-read,to-read (#122),to-read,,,,0,0
428,Play It As It Lays,Joan Didion,"Didion, Joan",,"=""0374529949""","=""9780374529949""",0,3.91,"Farrar, Straus and Giroux",Paperback,231,2005,1970,,2021/12/26,to-read,to-read (#121),to-read,,,,0,0
107400,London: The Biography,Peter Ackroyd,"Ackroyd, Peter",,"=""0385497717""","=""9780385497718""",0,3.96,Anchor,Paperback,801,2003,2000,,2021/12/25,to-read,to-read (#120),to-read,,,,0,0
13539185,"Foundation: The History of England from Its Earliest Beginnings to the Tudors (The History of England, #1)",Peter Ackroyd,"Ackroyd, Peter",,"=""125000361X""","=""9781250003614""",0,4.05,Thomas Dunne Books,Hardcover,496,2012,2011,,2021/12/25,to-read,to-read (#119),to-read,,,,0,0
39508562,"The King and the Catholics: England, Ireland, and the Fight for Religious Freedom, 1780-1829",Antonia Fraser,"Fraser, Antonia",,"=""0385544529""","=""9780385544528""",0,3.57,Nan A. Talese,Hardcover,336,2018,2018,,2021/12/25,to-read,to-read (#118),to-read,,,,0,0
57274238,Humankind,Rutger Bregman,"Bregman, Rutger",,"=""1408898950""","=""9781408898956""",0,4.32,BLOOMSBURY,Paperback,465,2021,2019,,2021/12/25,to-read,to-read (#117),to-read,,,,0,0
14569052,Purple Hibiscus,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""1616202416""","=""9781616202415""",4,4.18,Algonquin Books,Paperback,336,2012,2003,2021/12/25,2019/11/05,,,read,,,,1,0
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion,"Didion, Joan",John Leonard,"=""0307264874""","=""9780307264879""",0,4.43,Everyman's Library,Hardcover,1122,2006,2006,,2021/12/23,to-read,to-read (#116),to-read,,,,0,0
3284100,"Novel 11, Book 18",Dag Solstad,"Solstad, Dag",,"=""1843432110""","=""9781843432111""",0,3.69,Harvill Secker,Hardcover,218,2008,1992,,2021/12/23,to-read,to-read (#115),to-read,,,,0,0
37969775,A Mad Love: An Introduction to Opera,Vivien Schweitzer,"Schweitzer, Vivien",,"=""046509693X""","=""9780465096930""",0,3.97,Basic Books,Hardcover,288,2018,2018,,2021/12/23,to-read,to-read (#114),to-read,,,,0,0
